year,first_name,country,sex,count
2018,Name420,Mexico,Female,8199
2017,Name388,South Korea,Male,6505
2013,Name304,United States,Female,5406
2021,Name768,Japan,Female,1407
2012,Name59,Mexico,Male,7133
2015,Name19,United States,Male,2658
2018,Name175,South Korea,Female,428
2015,Name908,India,Male,340
2016,Name974,Brazil,Female,9589
2012,Name939,United States,Male,5322
2021,Name347,United Kingdom,Male,2980
2010,Name829,Argentina,Female,2661
2012,Name348,Brazil,Female,1284
2011,Name687,Argentina,Female,2650
2010,Name810,Japan,Male,6404
2020,Name595,Japan,Female,8333
2016,Name141,United Kingdom,Male,8590
2013,Name482,Argentina,Female,6507
2012,Name680,Australia,Female,785
2023,Name375,Australia,Female,5088
2013,Name801,Brazil,Female,3257
2022,Name673,Argentina,Male,4194
2021,Name224,Argentina,Female,2702
2014,Name400,Australia,Male,2003
2015,Name405,India,Male,2631
2020,Name919,Mexico,Female,174
2017,Name170,India,Male,7801
2017,Name107,Brazil,Male,8323
2022,Name478,United Kingdom,Female,1981
2011,Name86,South Korea,Male,9389
2023,Name76,United States,Female,8033
2017,Name213,Japan,Female,635
2014,Name275,United Kingdom,Male,7676
2022,Name520,United States,Male,2119
2019,Name999,Australia,Male,8500
2011,Name69,Brazil,Female,8207
2012,Name564,United States,Female,5955
2015,Name448,Japan,Male,316
2018,Name217,Mexico,Male,8956
2010,Name129,Mexico,Male,6859
2020,Name262,South Korea,Male,558
2017,Name219,South Korea,Female,4498
2018,Name534,Argentina,Male,707
2018,Name565,India,Female,1904
2011,Name6,United States,Male,2136
2013,Name851,India,Male,8962
2017,Name272,Brazil,Male,5788
2013,Name337,United Kingdom,Female,7186
2015,Name915,Argentina,Male,7826
2020,Name563,Australia,Female,1169
2012,Name840,Japan,Male,4424
2018,Name933,South Korea,Male,4942
2022,Name2,India,Female,2244
2012,Name945,Japan,Male,2776
2018,Name198,South Korea,Male,3881
2018,Name203,South Korea,Male,6851
2017,Name263,Australia,Female,935
2020,Name661,United Kingdom,Female,1887
2018,Name68,United Kingdom,Male,1955
2023,Name107,United States,Female,1124
2022,Name379,Australia,Female,6057
2021,Name145,United States,Male,6723
2013,Name32,United Kingdom,Female,3238
2018,Name270,South Korea,Female,1152
2014,Name393,Argentina,Male,7001
2023,Name120,Japan,Male,9403
2015,Name827,United States,Female,6107
2017,Name395,United Kingdom,Female,9673
2023,Name271,Argentina,Male,8229
2012,Name470,United States,Female,7435
2012,Name445,United States,Male,7896
2019,Name75,India,Female,3502
2012,Name235,Mexico,Male,3163
2010,Name893,Brazil,Female,5543
2017,Name507,Argentina,Male,5566
2015,Name260,Australia,Male,778
2016,Name772,Australia,Female,2399
2011,Name381,Argentina,Female,6401
2013,Name252,Mexico,Male,2873
2019,Name940,Japan,Female,6272
2023,Name251,Brazil,Female,6906
2012,Name179,Mexico,Male,9419
2018,Name398,South Korea,Female,6265
2014,Name788,Brazil,Male,3031
2019,Name133,Mexico,Female,4035
2019,Name599,Japan,Female,8336
2013,Name533,United Kingdom,Female,3617
2021,Name795,Brazil,Female,116
2015,Name723,Brazil,Female,1809
2014,Name32,Brazil,Male,2875
2020,Name356,United Kingdom,Female,7280
2019,Name847,United States,Male,1185
2022,Name987,India,Female,5534
2020,Name961,Australia,Male,2767
2010,Name942,United States,Male,643
2010,Name309,India,Male,116
2018,Name369,India,Male,7327
2021,Name189,Australia,Female,2386
2015,Name660,Australia,Male,593
2020,Name228,Japan,Male,3457
2022,Name451,Australia,Female,7798
2014,Name536,Argentina,Female,6001
2021,Name839,Japan,Male,4319
2011,Name235,Australia,Male,3801
2014,Name473,South Korea,Female,5464
2013,Name367,Brazil,Female,5827
2010,Name293,Mexico,Female,6516
2022,Name317,Argentina,Male,8029
2011,Name441,Argentina,Female,2806
2022,Name976,Brazil,Male,5761
2018,Name391,India,Female,2199
2019,Name943,India,Female,9597
2015,Name865,Brazil,Male,5358
2023,Name365,United Kingdom,Male,3329
2022,Name739,United States,Male,7826
2013,Name100,United States,Female,6457
2010,Name772,Australia,Male,544
2023,Name280,Mexico,Female,8624
2016,Name468,Australia,Female,6181
2014,Name869,South Korea,Male,3925
2018,Name779,United States,Female,9384
2021,Name683,Mexico,Male,3249
2019,Name836,United Kingdom,Female,1050
2022,Name588,Australia,Male,2982
2021,Name798,Mexico,Female,8332
2017,Name10,Argentina,Female,8895
2019,Name772,Brazil,Male,4580
2012,Name13,India,Female,2420
2017,Name965,Japan,Male,2884
2013,Name346,United States,Male,1757
2023,Name544,South Korea,Female,7453
2010,Name468,Mexico,Female,9706
2011,Name641,United States,Female,6930
2020,Name345,United Kingdom,Female,5735
2019,Name980,United States,Male,7705
2020,Name407,Brazil,Male,4614
2017,Name508,Australia,Male,369
2014,Name235,Mexico,Male,4475
2022,Name266,South Korea,Female,979
2014,Name218,Argentina,Male,8787
2012,Name333,Japan,Male,2090
2012,Name520,Mexico,Female,4276
2023,Name545,Japan,Male,1846
2015,Name282,United States,Female,220
2023,Name281,United Kingdom,Male,8477
2022,Name63,Japan,Female,7038
2022,Name839,Argentina,Male,9361
2017,Name610,Mexico,Male,3465
2017,Name794,Australia,Male,5333
2014,Name777,Mexico,Male,8272
2019,Name336,Mexico,Female,1403
2011,Name472,Japan,Female,1171
2023,Name789,Mexico,Female,8316
2016,Name672,United States,Female,4150
2017,Name312,India,Male,8072
2015,Name589,United Kingdom,Male,9882
2012,Name140,Brazil,Female,8606
2020,Name273,India,Male,5162
2015,Name367,Mexico,Female,1113
2021,Name580,Argentina,Female,5248
2011,Name130,India,Male,2041
2013,Name293,United Kingdom,Male,1950
2021,Name239,Australia,Female,3033
2010,Name485,Argentina,Female,5322
2018,Name399,United Kingdom,Male,7536
2016,Name674,United States,Female,7074
2016,Name422,South Korea,Male,3393
2015,Name378,South Korea,Female,2132
2013,Name73,Brazil,Female,7001
2016,Name239,United Kingdom,Female,2667
2016,Name216,Japan,Male,8071
2023,Name539,Japan,Female,9021
2016,Name582,Japan,Female,235
2016,Name51,India,Male,8801
2017,Name476,United Kingdom,Female,8152
2023,Name299,Brazil,Female,6387
2013,Name831,United Kingdom,Female,7951
2019,Name326,Japan,Female,2714
2015,Name158,South Korea,Male,8705
2023,Name725,Brazil,Female,2582
2018,Name817,India,Female,5479
2016,Name74,India,Male,6306
2018,Name741,Brazil,Female,7829
2012,Name834,Argentina,Male,9681
2019,Name792,Australia,Female,9301
2016,Name800,United Kingdom,Male,364
2017,Name221,United States,Female,7907
2019,Name321,South Korea,Male,3610
2023,Name731,United States,Female,1195
2022,Name272,Mexico,Male,3400
2019,Name582,Brazil,Female,2571
2018,Name893,Japan,Female,5479
2011,Name477,United States,Female,3502
2023,Name546,Mexico,Male,8608
2010,Name983,Mexico,Female,3980
2022,Name73,Australia,Female,7308
2022,Name756,Mexico,Female,8539
2020,Name441,Japan,Female,5053
2013,Name720,South Korea,Female,401
2011,Name683,United Kingdom,Female,9639
2016,Name91,India,Male,2563
2012,Name98,South Korea,Female,8864
2012,Name438,Argentina,Male,5506
2020,Name645,Brazil,Male,9941
2014,Name202,Mexico,Male,6122
2018,Name932,Brazil,Male,4429
2021,Name486,United States,Male,114
2019,Name730,United States,Male,5412
2017,Name758,Brazil,Female,7673
2019,Name82,Brazil,Male,9325
2017,Name17,United Kingdom,Female,1109
2016,Name155,Japan,Male,6424
2014,Name350,Mexico,Male,391
2013,Name140,Japan,Male,5093
2012,Name903,South Korea,Female,8760
2013,Name82,Japan,Female,6230
2013,Name299,South Korea,Male,8865
2022,Name872,Brazil,Female,6792
2019,Name511,Mexico,Female,2828
2017,Name601,Japan,Male,5105
2019,Name437,Brazil,Male,3494
2013,Name617,Japan,Male,5651
2012,Name704,Japan,Female,4834
2010,Name474,South Korea,Female,3157
2014,Name70,India,Female,8341
2019,Name206,United Kingdom,Male,1537
2017,Name279,Japan,Female,1815
2011,Name167,India,Male,5353
2010,Name773,Argentina,Female,4443
2014,Name863,Australia,Male,5295
2017,Name680,Japan,Male,6445
2022,Name305,Japan,Female,2554
2012,Name424,Argentina,Female,9544
2022,Name532,Mexico,Female,4214
2016,Name200,Brazil,Male,627
2023,Name114,Argentina,Female,4168
2018,Name759,United Kingdom,Female,6339
2019,Name707,United States,Female,8698
2020,Name331,United States,Male,466
2022,Name692,Mexico,Female,5776
2020,Name834,India,Female,2295
2013,Name291,United Kingdom,Female,9737
2016,Name589,India,Male,1124
2018,Name566,Argentina,Female,4497
2017,Name263,South Korea,Female,4331
2018,Name216,Mexico,Female,9621
2013,Name298,United Kingdom,Female,9917
2015,Name27,Australia,Male,4013
2021,Name959,Australia,Male,7371
2021,Name74,India,Female,1464
2023,Name425,India,Female,8866
2013,Name117,Australia,Female,8818
2022,Name638,Australia,Male,1543
2021,Name570,Brazil,Male,5551
2015,Name802,Mexico,Female,4600
2013,Name931,Argentina,Female,8173
2022,Name266,Japan,Male,8753
2019,Name490,Australia,Female,569
2018,Name22,South Korea,Female,2275
2015,Name633,Japan,Male,7267
2021,Name699,United States,Female,9670
2017,Name241,United Kingdom,Male,5293
2023,Name479,South Korea,Female,2036
2012,Name184,Brazil,Female,8212
2019,Name296,India,Male,1061
2019,Name412,Japan,Female,129
2011,Name559,India,Female,375
2014,Name756,South Korea,Male,307
2018,Name536,Australia,Male,7084
2015,Name898,Argentina,Female,4323
2012,Name412,Australia,Male,6440
2016,Name846,India,Male,7383
2016,Name645,Australia,Female,3769
2016,Name38,United Kingdom,Female,3699
2016,Name217,Japan,Female,3020
2011,Name161,South Korea,Male,2869
2022,Name87,United Kingdom,Female,5090
2018,Name18,Argentina,Female,913
2011,Name895,Japan,Male,6329
2017,Name595,Argentina,Female,824
2018,Name932,United States,Male,541
2016,Name284,Japan,Male,5580
2018,Name552,Argentina,Male,9353
2010,Name472,South Korea,Male,717
2017,Name485,Australia,Female,6926
2016,Name230,United States,Male,7160
2016,Name814,Australia,Female,2118
2019,Name644,United Kingdom,Female,8544
2021,Name10,Japan,Male,4105
2010,Name625,South Korea,Female,4796
2014,Name454,Australia,Female,1848
2017,Name44,Japan,Male,7022
2012,Name227,Japan,Male,6446
2022,Name921,United States,Male,3104
2019,Name914,South Korea,Female,410
2015,Name108,India,Male,4452
2021,Name435,United States,Male,1865
2015,Name101,United States,Male,9628
2013,Name144,India,Male,9010
2014,Name997,United States,Female,7929
2020,Name218,Argentina,Female,7276
2022,Name89,Australia,Male,581
2011,Name362,India,Female,2935
2023,Name575,Japan,Male,1801
2022,Name555,Argentina,Male,9785
2020,Name251,Australia,Female,7087
2020,Name960,United States,Male,2352
2013,Name511,Australia,Male,9045
2010,Name504,Australia,Male,5530
2014,Name8,United Kingdom,Male,8665
2015,Name574,Brazil,Female,6624
2018,Name826,Mexico,Male,3221
2019,Name231,Brazil,Male,740
2023,Name37,South Korea,Female,2792
2023,Name224,Japan,Female,9713
2014,Name776,Brazil,Female,7501
2021,Name755,India,Male,1864
2020,Name929,South Korea,Female,2996
