year,first_name,country,sex,count
2016,Name305,United States,Male,2741
2017,Name827,Brazil,Male,4606
2013,Name734,Australia,Male,8167
2018,Name818,Japan,Male,3939
2016,Name832,Mexico,Female,4331
2013,Name568,Brazil,Male,4777
2017,Name426,South Korea,Male,6671
2022,Name226,Australia,Female,660
2017,Name168,Japan,Male,9655
2017,Name730,Argentina,Female,6108
2019,Name964,India,Male,7106
2010,Name948,Australia,Female,9703
2017,Name289,Brazil,Female,4632
2019,Name898,Australia,Female,9689
2015,Name268,South Korea,Female,4285
2020,Name242,Mexico,Female,3484
2012,Name949,United States,Female,6765
2014,Name758,Mexico,Female,3364
2015,Name274,United Kingdom,Female,823
2019,Name978,Australia,Female,4916
2012,Name384,United States,Male,2254
2013,Name150,United Kingdom,Male,1007
2017,Name326,Mexico,Female,6013
2013,Name729,Brazil,Female,3566
2020,Name633,United Kingdom,Male,2525
2013,Name114,United States,Male,3762
2011,Name388,United States,Female,2641
2010,Name25,South Korea,Female,982
2016,Name172,United States,Male,5424
2020,Name939,Japan,Female,7611
2013,Name450,United Kingdom,Female,910
2016,Name5,India,Female,138
2021,Name184,South Korea,Male,6272
2011,Name475,India,Female,8999
2011,Name915,United Kingdom,Male,8649
2019,Name434,Argentina,Female,9755
2012,Name4,United Kingdom,Female,2490
2013,Name309,Brazil,Female,4078
2014,Name865,Brazil,Male,9790
2019,Name538,United States,Male,2230
2017,Name668,Japan,Female,5781
2018,Name125,Japan,Female,8343
2017,Name770,United States,Female,9656
2022,Name653,Mexico,Male,3722
2011,Name675,Mexico,Male,7346
2022,Name723,India,Male,3494
2013,Name884,Brazil,Male,7472
2017,Name119,Mexico,Male,7030
2011,Name775,United Kingdom,Male,7376
2010,Name491,Brazil,Male,7784
2018,Name338,United States,Male,3849
2010,Name793,Australia,Male,2045
2011,Name79,India,Female,6291
2022,Name841,Japan,Female,4302
2020,Name997,Argentina,Male,7306
2021,Name423,Mexico,Female,6408
2019,Name973,Argentina,Female,3038
2013,Name211,United States,Male,5145
2011,Name763,Japan,Male,6679
2020,Name64,South Korea,Male,2339
2020,Name723,Mexico,Female,3864
2018,Name304,Australia,Male,3781
2023,Name538,South Korea,Male,2854
2014,Name896,Argentina,Female,1711
2010,Name385,United States,Female,8903
2019,Name447,Australia,Male,6763
2023,Name488,India,Female,8095
2016,Name817,Brazil,Female,5352
2022,Name1,Argentina,Female,3764
2012,Name309,Australia,Female,1871
2022,Name416,India,Female,933
2016,Name373,United States,Male,577
2010,Name265,United Kingdom,Female,1809
2017,Name882,Australia,Female,576
2023,Name672,South Korea,Male,2049
2014,Name584,Mexico,Male,4596
2020,Name667,Japan,Female,6541
2014,Name487,United States,Female,5907
2023,Name609,United States,Male,3008
2022,Name511,United Kingdom,Male,6778
2018,Name588,Brazil,Male,4951
2017,Name147,Brazil,Male,172
2013,Name368,Brazil,Male,1562
2010,Name805,Mexico,Female,648
2014,Name202,India,Female,5945
2012,Name696,United States,Male,445
2014,Name397,South Korea,Male,8545
2023,Name437,United States,Male,7478
2011,Name874,Argentina,Female,9646
2014,Name724,Australia,Female,2578
2012,Name708,Japan,Female,5726
2011,Name503,Argentina,Female,7130
2018,Name750,United States,Male,9110
2020,Name287,Mexico,Female,3368
2022,Name567,United Kingdom,Male,7198
2017,Name462,Argentina,Female,7719
2016,Name204,United States,Male,3528
2013,Name481,Mexico,Female,4243
2017,Name436,Argentina,Male,6659
2020,Name627,Australia,Female,5651
2022,Name223,Argentina,Male,6145
2012,Name906,Mexico,Male,3345
2015,Name483,Brazil,Male,4546
2010,Name761,Japan,Male,440
2022,Name335,India,Male,4798
2019,Name117,United States,Female,6607
2015,Name418,Mexico,Male,3862
2017,Name986,Brazil,Female,523
2015,Name560,United States,Female,1202
2022,Name279,Australia,Female,568
2014,Name317,Japan,Male,299
2013,Name196,Japan,Female,3622
2013,Name849,Argentina,Female,2734
2016,Name227,Argentina,Female,2106
2023,Name495,Australia,Female,2979
2012,Name449,Japan,Male,7969
2023,Name895,South Korea,Male,9497
2014,Name757,Australia,Female,6214
2015,Name586,South Korea,Male,8289
2020,Name208,Japan,Male,3827
2014,Name107,United States,Female,7797
2022,Name232,Australia,Female,907
2010,Name266,Mexico,Male,8660
2014,Name974,Argentina,Female,7983
2020,Name517,Australia,Female,3589
2018,Name743,India,Male,903
2010,Name752,South Korea,Female,4090
2014,Name609,Australia,Female,2656
2014,Name307,Mexico,Female,6132
2023,Name47,United States,Female,9861
2017,Name476,Mexico,Female,4850
2018,Name993,India,Female,562
2016,Name240,Argentina,Male,3423
2017,Name17,Brazil,Female,5949
2010,Name2,South Korea,Male,1315
2012,Name153,South Korea,Female,3178
2022,Name416,United Kingdom,Male,3801
2018,Name914,Brazil,Female,577
2016,Name631,Argentina,Female,3261
2015,Name156,Mexico,Female,9751
2017,Name780,Australia,Male,769
2014,Name3,India,Female,6492
2018,Name865,Argentina,Female,8728
2017,Name134,South Korea,Male,3127
2014,Name43,Australia,Female,592
2018,Name379,United States,Female,2983
2011,Name271,Japan,Male,4620
2022,Name695,Argentina,Female,7092
2022,Name420,United Kingdom,Female,5755
2015,Name351,United States,Male,8128
2017,Name113,Argentina,Female,2825
2016,Name541,Argentina,Female,4017
2023,Name151,Brazil,Male,3273
2014,Name852,South Korea,Female,8387
2017,Name53,Japan,Male,2629
2013,Name425,United States,Female,7538
2020,Name277,Australia,Female,4951
2012,Name281,Argentina,Male,2598
2021,Name904,Mexico,Male,7655
2018,Name65,Brazil,Male,8183
2011,Name360,United States,Male,4358
2017,Name363,Brazil,Male,2368
2020,Name54,Japan,Male,4194
2012,Name110,Argentina,Male,3170
2017,Name84,Mexico,Male,7062
2017,Name979,United States,Male,952
2012,Name528,Brazil,Female,6768
2012,Name447,Brazil,Male,342
2011,Name39,Japan,Male,9947
2020,Name148,Japan,Female,2758
2012,Name136,South Korea,Female,6203
2020,Name527,India,Male,7834
2019,Name274,United Kingdom,Male,1039
2013,Name799,South Korea,Male,1541
2020,Name667,Argentina,Female,157
2018,Name204,Japan,Female,4255
2022,Name187,India,Male,4158
2011,Name837,Argentina,Male,7653
2018,Name889,Australia,Male,9578
2017,Name10,United Kingdom,Male,5671
2020,Name967,India,Female,8473
2011,Name499,Mexico,Female,3935
2010,Name300,United States,Male,387
2015,Name733,United States,Male,2738
2020,Name556,United States,Female,4343
2023,Name649,United States,Female,3344
2011,Name415,Mexico,Male,7170
2018,Name1,India,Female,5669
2010,Name738,South Korea,Male,9260
2021,Name665,Japan,Male,476
2016,Name866,India,Male,1647
2019,Name975,United Kingdom,Male,6405
2012,Name215,Australia,Female,2450
2023,Name334,Argentina,Female,4983
2011,Name309,Argentina,Male,4333
2016,Name105,Argentina,Male,4524
2018,Name36,Mexico,Male,5302
2021,Name180,Japan,Female,976
2013,Name108,United States,Female,3274
2016,Name329,Japan,Male,2121
2022,Name891,South Korea,Male,5171
2019,Name472,Argentina,Male,6040
2021,Name673,South Korea,Female,1512
2016,Name878,India,Female,7872
2015,Name221,South Korea,Male,8408
2018,Name9,Mexico,Female,4913
2019,Name198,United States,Male,6291
2018,Name8,United Kingdom,Female,7930
2018,Name533,South Korea,Male,8953
2010,Name432,Japan,Female,9254
2012,Name900,Argentina,Male,7937
2010,Name537,Japan,Male,5975
2013,Name209,United Kingdom,Male,5103
2017,Name478,Japan,Male,7028
2021,Name295,Brazil,Female,1519
2013,Name383,United States,Female,7071
2017,Name899,India,Female,5741
2013,Name562,Brazil,Female,7094
2012,Name730,Argentina,Male,3756
2013,Name106,South Korea,Female,6835
2013,Name289,South Korea,Male,4709
2018,Name856,Japan,Female,9167
2021,Name806,United States,Female,1357
2017,Name59,Mexico,Female,1827
2018,Name783,Australia,Male,2819
2013,Name661,Japan,Female,4289
2014,Name537,India,Male,1968
2015,Name106,Argentina,Female,8072
2010,Name333,Argentina,Female,8067
2016,Name82,United States,Female,6450
2019,Name21,South Korea,Female,573
2016,Name192,United States,Male,191
2018,Name153,Australia,Male,8612
2017,Name201,South Korea,Female,8522
2019,Name890,Japan,Male,1516
2020,Name516,United States,Female,2153
2017,Name719,Argentina,Female,6951
2020,Name267,India,Male,8709
2020,Name92,Japan,Female,940
2018,Name541,Japan,Male,5486
2020,Name989,Brazil,Female,6665
2018,Name818,Mexico,Female,9394
2017,Name275,Japan,Male,4661
2018,Name452,Argentina,Female,2015
2018,Name430,Mexico,Male,913
2014,Name900,Mexico,Female,4536
2015,Name864,India,Male,101
2011,Name782,Argentina,Female,2786
2014,Name211,United States,Male,2805
2019,Name129,Argentina,Male,2653
2021,Name480,India,Male,7199
2011,Name138,Brazil,Male,2303
2017,Name815,United States,Male,9904
2015,Name964,South Korea,Female,1233
2016,Name343,United Kingdom,Female,406
2016,Name681,South Korea,Female,7167
2014,Name987,Australia,Male,5626
2013,Name205,United States,Male,5768
2019,Name869,Mexico,Male,4972
2020,Name575,Brazil,Male,3268
2010,Name260,South Korea,Male,2475
2023,Name391,Australia,Female,6639
2017,Name492,Australia,Female,3346
2018,Name417,Mexico,Female,8930
2014,Name480,Argentina,Male,889
2012,Name180,India,Female,9202
2021,Name252,Argentina,Male,2529
2014,Name944,Argentina,Female,9201
2023,Name352,South Korea,Male,1698
2012,Name877,United Kingdom,Female,5135
2016,Name87,Brazil,Male,5226
2016,Name285,Brazil,Female,5401
2010,Name3,India,Male,7657
2013,Name976,United States,Male,1534
2021,Name226,Mexico,Male,5778
2020,Name294,Australia,Male,4893
2023,Name51,United States,Female,6857
2017,Name463,India,Male,111
2013,Name650,Japan,Female,6485
2010,Name93,United Kingdom,Female,6319
2017,Name20,United Kingdom,Female,7841
2018,Name735,Australia,Male,6274
2020,Name55,United Kingdom,Female,9355
2021,Name918,Mexico,Male,6853
2021,Name604,United States,Female,8962
2018,Name896,Mexico,Female,5771
2014,Name646,Mexico,Female,642
2013,Name326,Argentina,Female,6557
2011,Name812,South Korea,Male,4980
2015,Name225,Argentina,Female,7802
2013,Name891,Australia,Male,2766
2012,Name407,Australia,Male,1769
2016,Name999,Australia,Male,186
2014,Name972,Argentina,Male,553
2011,Name468,India,Female,9592
2018,Name337,Brazil,Male,5794
2018,Name484,India,Female,4152
2018,Name927,South Korea,Female,4253
2015,Name821,Japan,Female,6389
2022,Name615,United States,Female,1370
2022,Name81,Australia,Male,5085
2013,Name274,Brazil,Female,9205
2014,Name255,Mexico,Female,693
2017,Name399,Australia,Female,2928
2013,Name343,Japan,Male,6769
2018,Name222,South Korea,Male,3545
2018,Name183,India,Male,6018
2017,Name315,Argentina,Male,2452
2021,Name980,United States,Male,4542
2022,Name100,United States,Female,4374
2016,Name681,Australia,Female,6859
2023,Name758,Japan,Female,4075
2018,Name913,United States,Male,3332
2017,Name171,Mexico,Female,511
2011,Name376,Brazil,Male,1937
2016,Name701,India,Male,2226
2016,Name806,United States,Male,3619
2016,Name746,Australia,Male,2009
2022,Name809,Mexico,Female,3885
2014,Name713,Mexico,Male,9814
2022,Name659,United Kingdom,Male,1117
2020,Name606,United States,Male,6085
2013,Name175,United States,Female,2706
2023,Name933,United States,Male,5139
2019,Name484,India,Female,7102
2020,Name643,United States,Male,8967
2018,Name995,United States,Male,287
2022,Name668,United Kingdom,Female,1678
2018,Name293,Argentina,Male,3258
2016,Name393,United States,Male,5478
2021,Name565,United States,Male,3133
2016,Name538,Australia,Male,2421
2015,Name958,India,Male,2084
2014,Name19,South Korea,Male,8138
2011,Name552,India,Female,1361
2017,Name803,Japan,Male,9407
2013,Name358,Argentina,Male,6336
2016,Name764,Brazil,Female,2531
2015,Name621,South Korea,Female,9154
2022,Name5,Japan,Female,1158
2023,Name421,Mexico,Female,4629
2016,Name520,Brazil,Female,4422
2022,Name503,Japan,Female,910
2018,Name881,Argentina,Female,6144
2012,Name365,Australia,Male,3447
2010,Name209,South Korea,Male,9585
2019,Name295,Mexico,Female,918
2013,Name673,United Kingdom,Male,9462
2016,Name125,United States,Female,3864
2023,Name402,Mexico,Male,6133
2019,Name364,Brazil,Female,7980
2015,Name694,Mexico,Female,8862
2022,Name499,Brazil,Female,5407
2012,Name185,United States,Female,4280
2022,Name821,South Korea,Female,4564
2020,Name795,South Korea,Male,7527
2012,Name186,Japan,Female,3652
2012,Name864,Brazil,Female,4934
2021,Name566,Japan,Male,667
2016,Name468,Brazil,Female,5033
2022,Name108,Australia,Male,3062
2020,Name425,Japan,Male,9460
2011,Name680,Japan,Female,8932
2015,Name400,South Korea,Female,1100
2010,Name671,Argentina,Male,1989
2014,Name74,Mexico,Male,1139
2015,Name574,United States,Female,6642
2012,Name390,Brazil,Female,4550
2015,Name13,Brazil,Female,4546
2016,Name72,India,Female,6727
2014,Name197,United Kingdom,Male,2073
2021,Name136,India,Female,7663
2015,Name28,Japan,Male,573
2011,Name608,Brazil,Male,6027
2014,Name62,Australia,Male,969
2011,Name212,India,Female,5384
2011,Name610,United Kingdom,Female,4094
2019,Name974,Argentina,Male,2298
2013,Name260,Brazil,Male,3843
2016,Name31,Japan,Male,8288
2011,Name56,United States,Male,9089
2023,Name132,South Korea,Female,481
2021,Name244,United States,Female,7688
2011,Name438,India,Male,1287
2015,Name393,Mexico,Female,9939
2015,Name237,Japan,Female,6294
2017,Name36,South Korea,Female,3378
2022,Name319,India,Female,9520
2014,Name170,United States,Female,3513
2017,Name979,Brazil,Female,7644
2022,Name684,Japan,Female,6704
2010,Name202,India,Male,7690
2018,Name997,India,Male,4031
2017,Name184,Australia,Male,4002
2017,Name19,South Korea,Male,5817
2021,Name202,South Korea,Female,6440
2015,Name423,South Korea,Female,1093
2023,Name948,Australia,Male,8077
2012,Name140,Mexico,Male,2841
2020,Name498,Brazil,Male,9821
2014,Name662,South Korea,Male,2992
2018,Name31,Japan,Male,8949
2015,Name492,South Korea,Female,5030
2010,Name43,United Kingdom,Female,7885
2011,Name889,India,Female,4248
2018,Name558,India,Male,5423
2020,Name140,Mexico,Male,6276
2022,Name904,Brazil,Male,6561
2012,Name84,India,Male,2749
2011,Name470,Brazil,Male,822
2020,Name840,Japan,Male,7295
2023,Name497,Brazil,Male,7337
2020,Name326,India,Male,5146
2012,Name154,Brazil,Female,2050
2019,Name672,South Korea,Female,5160
2011,Name893,Mexico,Male,4739
2018,Name825,India,Female,4456
2020,Name773,Brazil,Female,8246
2013,Name673,South Korea,Male,2503
2016,Name753,Brazil,Male,3998
2015,Name29,Argentina,Male,8744
2015,Name737,United Kingdom,Female,7636
2022,Name230,United Kingdom,Male,957
2016,Name686,Australia,Female,1610
2015,Name597,Brazil,Male,377
2022,Name750,South Korea,Female,1964
2015,Name517,India,Male,1274
2013,Name605,Mexico,Female,9331
2012,Name700,India,Male,893
